"mallcauses" "fallcauses" "mbmi" "fbmi" "msmoking" "fsmoking"
"1924" NA NA 0.00760566611549225 0.0114482135107252 NA NA
"1925" NA NA 0.00727533183686765 0.0111914671300350 NA NA
"1926" NA NA 0.00711529180609138 0.0110602673440248 NA NA
"1927" NA NA 0.00711264356017334 0.0110452346676029 NA NA
"1928" NA NA 0.00725448463612342 0.0111369896156780 NA NA
"1929" NA NA 0.00752791257095152 0.0113261527031586 NA NA
"1930" NA NA 0.00792002490166753 0.0116033444449534 NA NA
"1931" NA NA 0.00841791916528137 0.0119591853559708 NA NA
"1932" NA NA 0.00900869289880292 0.0123842959511195 NA NA
"1933" 0.26168 0.28649 0.00967944363924207 0.0128692967453081 NA NA
"1934" 0.26728 0.29026 0.0104172689236087 0.0134048082534451 NA NA
"1935" 0.2715 0.29131 0.0112092662889128 0.0139814509904390 NA NA
"1936" 0.29705 0.31747 0.0120425332721642 0.0145898454711986 NA NA
"1937" 0.28063 0.30444 0.0129041674103728 0.0152206122106322 NA NA
"1938" 0.2633 0.28598 0.0137812662405485 0.0158643717236486 NA NA
"1939" 0.27858 0.29603 0.0146609272997012 0.0165117445251562 NA NA
"1940" 0.28923 0.31175 0.0155302481248408 0.0171533511300637 NA NA
"1941" 0.27034 0.2997 0.0163763262529772 0.0177798120532796 NA NA
"1942" 0.26269 0.28796 0.0171862592211203 0.0183817478097125 NA NA
"1943" 0.28552 0.3121 0.01794714456628 0.0189497789142710 NA NA
"1944" 0.26432 0.28926 0.0186460798254662 0.0194745258818637 NA NA
"1945" 0.25793 0.28595 0.0192701625356888 0.019946609227399 NA NA
"1946" 0.26023 0.2888 0.0198064902339576 0.0203566494657856 NA NA
"1947" 0.26744 0.29719 0.0202421604572826 0.0206952671119321 NA NA
"1948" 0.26853 0.29746 0.0205642707426738 0.0209530826807471 NA NA
"1949" 0.26373 0.28829 0.0207599186271409 0.021120716687139 NA NA
"1950" 0.2641 0.29271 0.0208162016476939 0.0211887896460165 NA NA
"1951" 0.26458 0.29574 0.0207202173413427 0.0211479220722882 NA NA
"1952" 0.26187 0.28325 0.0204590632450971 0.0209887344808626 NA NA
"1953" 0.26188 0.28975 0.0200198368959671 0.0207018473866483 NA NA
"1954" 0.25057 0.27684 0.0193896358309626 0.0202778813045539 NA NA
"1955" 0.26165 0.28797 0.0185555575870935 0.0197074567494879 0 0
"1956" 0.26016 0.28668 0.0175046997013696 0.0189811942363590 0 0
"1957" 0.26827 0.29843 0.0162241597108009 0.0180897142800756 0 0
"1958" 0.26647 0.29241 0.0147010351523973 0.0170236373955464 0 0
"1959" 0.26415 0.28929 0.0129224235631686 0.0157735840976799 0 0
"1960" 0.26868 0.29187 0.0108754224801248 0.0143301749013847 0 0
"1961" 0.26177 0.28923 0.00854712944027579 0.0126840303215695 0 0
"1962" 0.26841 0.29993 0.00624235374604154 0.0110993562332429 0 0
"1963" 0.27397 0.30485 0.00428304830726747 0.00983924331717603 0 0
"1964" 0.26389 0.2905 0.00268202607210154 0.00889263929692052 0 0
"1965" 0.26298 0.29395 0.00145209998869170 0.00824849189602812 0 0
"1966" 0.26367 0.29238 0.000606083005185879 0.0078957488380506 0 0
"1967" 0.2562 0.28875 0.000156788069732046 0.00782335784653968 0 0
"1968" 0.26345 0.29359 0.000117028130478143 0.00802026664504707 0 0
"1969" 0.25706 0.28454 0.000499616135572095 0.00847542295712455 0 0
"1970" 0.24345 0.2757 0.00131736503316189 0.00917777450632382 0 0
"1971" 0.24754 0.28094 0.00258308777139544 0.0101162690161966 0 0
"1972" 0.24677 0.27836 0.00430959729842072 0.0112798542102947 0 0
"1973" 0.24955 0.28107 0.00650970656238565 0.0126574778121698 0 0
"1974" 0.24259 0.27487 0.00901966030690715 0.014181896257149 0 0
"1975" 0.2268 0.26339 0.0117280947628432 0.0158884990945462 0 0
"1976" 0.23407 0.2704 0.0147264101092033 0.0179201837188933 0 0
"1977" 0.22291 0.26004 0.0181060065249971 0.0204198475247223 0 0
"1978" 0.22487 0.26322 0.0219582841892339 0.0235303879065653 0 0
"1979" 0.21648 0.25551 0.0268360191207149 0.0268832393198206 0 0
"1980" 0.22468 0.26766 0.0335012492247112 0.0303562212064457 0 0
"1981" 0.21822 0.2589 0.037172453724394 0.0344447241275331 0 0
"1982" 0.21169 0.25432 0.0431535657727261 0.0388282418913913 0 0
"1983" 0.21834 0.26082 0.0394509233635944 0.0437906691126414 0 0
"1984" 0.21755 0.26344 0.0352937809002573 0.0481961303736899 0 0
"1985" 0.22155 0.267 0.0324535838847066 0.0556941878795624 0 0
"1986" 0.2196 0.26396 0.0248110629275022 0.0585749470991633 0 0
"1987" 0.22118 0.26501 0.0140430853352013 0.0538712832813027 0 0
"1988" 0.22493 0.27258 0.00921557659176094 0.0419376337336371 0 0
"1989" 0.21887 0.26438 0.0139021590398955 0.041474699815894 0 0
"1990" 0.21365 0.26008 0.0188652040996023 0.0461348189367267 0 0
"1991" 0.21288 0.26114 0.0177163262113809 0.043672195803742 0 0
"1992" 0.20843 0.26249 0.0123413016697255 0.044891593765246 0 0
"1993" 0.21976 0.27096 0.00865053958989194 0.0457806396504656 0 0
"1994" 0.21731 0.27008 0.00773481646685811 0.0469277442112057 0 0
"1995" 0.22058 0.27301 0.00966189493288443 0.0486947042393771 0 0
"1996" 0.2202 0.27203 0.00496512212791899 0.0326652235515176 0 0
"1997" 0.22033 0.27157 0.0350918986902952 0.0513203090078403 0 0
"1998" 0.22022 0.26618 0.0390680091019397 0.0576501618648242 0 0
"1999" 0.226 0.26822 0.0421299814296018 0.0629235090459171 0 0
"2000" 0.22398 0.26326 0.0434727421045276 0.0656109039505862 0 0
"2001" 0.22038 0.25378 0.0439590563981298 0.0669602264196272 0 0
"2002" 0.21811 0.25092 0.0437578997464618 0.0669620926916136 0 0
"2003" 0.21412 0.23882 0.0427099862775126 0.0655920181870968 0 0
"2004" 0.19983 0.22291 0.0410361714328813 0.0629202339978417 0 0
"2005" 0.19974 0.21762 0.0386924840769895 0.0589625075158516 0 0
